10 2 137.425
10 2 -2.34375
10 2 9999999999999999999999999999999999999999999999
10 2 0.0000000000000000000000000000001
10 2 0.0000000000000000000000000000000001
2 10 1100011100 + 10001110011101
2 10 1000000000000000110111011
2 10 010000010010101110
2 10 00000000000000000111010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10100011 + 1000100101100001100000110011110001111
2 1000000000000001110011 - 100000000000000111001101101
10 124.5 + 1273.046875
10 124.5 + 1273.046877
10 -257.34 + 125.17
10 -257.34 + 125.17777
10 -257.34 - 125.17777
10 1.926354e-4931 - 1.926354222e-4931
10 0.926354e-4931 + 0.926354222e-4931
10 0.125e-4950 + 0.05e-4950
10 1.25 * 3.25
10 1e-30 * 1e-15
10 1e-30 * 0
10 2.1254e2000 * 1e1000000
10 -2.1254e2000 * 1e1000000
10 0.243 / 1000
10 0.125e-123 / 0.5e-125
10 0.125 / 0
